strategy,embedding_model,embedding_dim,exact_match,f1_score,num_queries
384d_top1_instruction,all-MiniLM-L6-v2,384,34.64052287581699,42.126472298346464,918
768d_top1_instruction,all-mpnet-base-v2,768,33.98692810457516,41.66930066564278,918
384d_top3_instruction,all-MiniLM-L6-v2,384,32.46187363834423,41.21149786953776,918
768d_top3_instruction,all-mpnet-base-v2,768,31.808278867102395,39.930656962554984,918
768d_top1_persona,all-mpnet-base-v2,768,27.342047930283226,35.15685562963639,918
384d_top1_persona,all-MiniLM-L6-v2,384,26.906318082788673,34.09043786745927,918
768d_top3_persona,all-mpnet-base-v2,768,25.054466230936818,33.015015181793935,918
384d_top3_persona,all-MiniLM-L6-v2,384,24.50980392156863,32.70060770910298,918
384d_top5_instruction,all-MiniLM-L6-v2,384,23.63834422657952,30.09199605424386,918
768d_top5_instruction,all-mpnet-base-v2,768,21.78649237472767,27.8582330668537,918
384d_top5_persona,all-MiniLM-L6-v2,384,18.191721132897605,24.87970783897498,918
768d_top5_persona,all-mpnet-base-v2,768,17.21132897603486,23.21945400697361,918
768d_top1_cot,all-mpnet-base-v2,768,0.0,10.396239843633559,918
384d_top1_cot,all-MiniLM-L6-v2,384,0.0,10.222495108023166,918
384d_top3_cot,all-MiniLM-L6-v2,384,0.0,9.730870045101279,918
768d_top3_cot,all-mpnet-base-v2,768,0.0,9.566673840837282,918
384d_top5_cot,all-MiniLM-L6-v2,384,0.0,7.476761804246058,918
768d_top5_cot,all-mpnet-base-v2,768,0.0,7.270124760975834,918
